ShipmentSK,OrderID,OrderDate,PickupDate,DeliveryDate,OriginCity,DestinationCity,DistanceKM,WeightKG,VolumeM3,Carrier,ShippingType,VehicleType,CustomerType,PaymentMethod,WarehouseID,DriverID,ShippingCostIDR,FuelSurchargeIDR,PlannedDeliveryDays,ActualDeliveryDays,DeliveryStatus,DelayReason,CustomerRating
2795,ORD2023004666,2024-10-16,2024-10-16,2024-10-20,DENPASAR,JAKARTA,1055.1,45.62,0.369,Wahana,Express,Kontainer 20ft,B2C,Kartu Kredit,WH-MAK-02,DRV-235,343800.0,9410.0,4,4.0,Delivered,No Delay,4.0
2796,ORD2023002167,2023-12-25,2023-12-25,2023-12-27,BALIKPAPAN,MALANG,935.7,9.92,0.087,Pos Indonesia,Reguler,Kontainer 20ft,B2C,Kartu Kredit,WH-MAK-02,DRV-442,41600.0,2940.0,2,2.0,Delivered,No Delay,5.0
2797,ORD2023004015,2025-06-16,2025-06-17,2025-06-22,MEDAN,YOGYAKARTA,2206.1,42.84,0.412,Ninja Xpress,Ekonomi,Truk Engkel,B2C,E-Wallet,WH-JAK-01,DRV-245,119900.0,5180.0,5,5.0,Delivered,No Delay,5.0
2798,ORD2023000859,2023-09-23,2023-09-23,2023-10-02,YOGYAKARTA,MEDAN,2005.9,26.43,0.208,Pos Indonesia,Reguler,Truk CDD,B2C,Virtual Account,WH-MED-02,DRV-149,131800.0,9680.0,6,9.0,Delayed,Kesalahan alamat,2.0
2799,ORD2023002931,2025-09-27,2025-09-28,2025-10-03,PALEMBANG,BALIKPAPAN,1781.8,14.77,0.129,ID Express,Express,Truk CDD,B2C,Transfer Bank,WH-MED-01,DRV-498,85300.0,6380.0,5,5.0,Delivered,No Delay,5.0
2800,ORD2023002927,2025-08-24,2025-08-25,2025-08-27,JAKARTA,PEKANBARU,1104.7,4.86,0.025,Wahana,Express,Van,B2C,Virtual Account,WH-MED-01,DRV-185,51800.0,1270.0,2,2.0,Delivered,No Delay,5.0
2801,ORD2023004317,2025-05-19,2025-05-20,2025-05-27,MAKASSAR,PALEMBANG,1780.4,7.14,0.017,ID Express,Kargo,Van,B2B,Transfer Bank,WH-MED-02,DRV-251,35000.0,1370.0,5,7.0,Returned,Alamat tidak ditemukan,
2802,ORD2023000297,2025-10-25,2025-10-25,2025-11-04,BALIKPAPAN,PEKANBARU,2167.6,6.85,0.046,ID Express,Reguler,Truk Engkel,B2C,E-Wallet,WH-JAK-01,DRV-147,57300.0,4230.0,5,10.0,Delayed,Cuaca buruk,2.0
2803,ORD2023004462,2023-07-29,2023-07-29,2023-08-08,JAKARTA,MANADO,2482.8,25.47,0.254,Wahana,Express,Motor,B2B,Transfer Bank,WH-JAK-02,DRV-252,185800.0,3760.0,9,10.0,Delivered,No Delay,5.0
2804,ORD2023004930,2023-11-10,2023-11-11,2023-11-16,MEDAN,JAKARTA,1505.0,27.33,0.101,JNE,Reguler,Van,B2C,Transfer Bank,WH-MAK-01,DRV-126,88300.0,5900.0,4,5.0,Delayed,Kesalahan alamat,1.0
2805,ORD2023001359,2024-09-12,2024-09-13,2024-09-17,MANADO,BANJARMASIN,1439.0,21.54,0.098,GoSend Logistics,Kargo,Van,B2C,Kartu Kredit,WH-SUR-01,DRV-103,79000.0,2140.0,3,4.0,Delivered,No Delay,1.0
2806,ORD2023004031,2025-09-16,2025-09-16,2025-09-24,YOGYAKARTA,PEKANBARU,1652.4,16.07,0.157,Pos Indonesia,Express,Kontainer 20ft,B2C,COD,WH-MED-02,DRV-176,146200.0,9590.0,4,8.0,Delayed,Cuaca buruk,1.0
2807,ORD2023002169,2023-02-15,2023-02-15,2023-02-19,PEKANBARU,PALEMBANG,641.0,20.27,0.092,JNE,Express,Truk Fuso,B2C,Transfer Bank,WH-MAK-02,DRV-190,111400.0,6210.0,1,4.0,Delayed,Kendala bea cukai,1.0
2808,ORD2023001001,2023-06-10,2023-06-11,2023-06-12,YOGYAKARTA,BANDUNG,382.7,8.7,0.081,Wahana,Reguler,Kontainer 20ft,B2C,E-Wallet,WH-JAK-01,DRV-129,42300.0,3250.0,1,1.0,Delivered,No Delay,4.0
2809,ORD2023003859,2024-06-11,2024-06-11,2024-06-15,PALEMBANG,MAKASSAR,1760.9,81.5,0.309,JNE,Kargo,Kontainer 20ft,B2B,Virtual Account,WH-MED-01,DRV-439,321700.0,20570.0,4,4.0,Delivered,No Delay,2.0
2810,ORD2023004352,2023-09-02,2023-09-02,2023-09-04,SURABAYA,MALANG,84.8,4.87,0.017,JNE,Ekonomi,Truk Fuso,B2B,COD,WH-MED-01,DRV-174,22400.0,800.0,1,2.0,Delivered,No Delay,5.0
2811,ORD2023003673,2024-01-25,2024-01-25,2024-01-27,DENPASAR,MAKASSAR,819.8,6.16,0.043,J&T Express,Express,Van,B2C,Transfer Bank,WH-JAK-01,DRV-136,57900.0,2180.0,2,2.0,Delivered,No Delay,5.0
2812,ORD2023005828,2023-10-10,2023-10-10,2023-10-22,MAKASSAR,MEDAN,3138.3,43.96,0.332,SiCepat,Reguler,Truk Fuso,B2B,E-Wallet,WH-MAK-01,DRV-420,166800.0,8320.0,8,12.0,Delayed,Cuaca buruk,1.0
2813,ORD2023004739,2024-03-11,2024-03-11,2024-03-18,PALEMBANG,MEDAN,1211.6,2.99,0.015,Pos Indonesia,Reguler,Truk Fuso,B2C,Kartu Kredit,WH-JAK-01,DRV-298,28400.0,1780.0,3,7.0,Delayed,Kesalahan alamat,2.0
2814,ORD2023004129,2025-05-05,2025-05-05,2025-05-07,DENPASAR,SEMARANG,717.2,29.48,0.155,GoSend Logistics,Reguler,Truk Fuso,B2C,COD,WH-JAK-01,DRV-168,139500.0,8320.0,2,2.0,Delivered,No Delay,4.0
2815,ORD2023002544,2025-03-01,2025-03-02,2025-03-07,SURABAYA,PEKANBARU,1676.4,7.86,0.048,AnterAja,Reguler,Truk Fuso,B2B,COD,WH-JAK-02,DRV-366,51000.0,2800.0,5,5.0,Delivered,No Delay,1.0
2816,ORD2023005009,2025-10-26,2025-10-26,2025-11-03,MANADO,BATAM,3057.8,4.13,0.033,GoSend Logistics,Instant,Van,B2B,Transfer Bank,WH-MAK-01,DRV-113,157600.0,4360.0,6,8.0,Delayed,Kesalahan alamat,3.0
2817,ORD2023002091,2024-10-17,2024-10-17,2024-10-20,YOGYAKARTA,SURABAYA,313.4,0.58,0.004,Pos Indonesia,Instant,Kontainer 20ft,B2C,Kartu Kredit,WH-MAK-01,DRV-396,35400.0,1240.0,1,3.0,Delayed,Kendala bea cukai,3.0
2818,ORD2023001605,2023-12-29,2023-12-29,2024-01-03,SEMARANG,MAKASSAR,1160.7,15.74,0.033,SiCepat,Instant,Truk CDD,B2C,COD,WH-MED-01,DRV-374,165000.0,10470.0,4,5.0,Delivered,No Delay,5.0
2819,ORD2023003220,2025-02-01,2025-02-02,2025-02-08,BATAM,SEMARANG,1370.4,5.92,0.057,JNE,Express,Truk CDD,B2C,E-Wallet,WH-MAK-01,DRV-393,73300.0,5790.0,3,6.0,Delayed,Kesalahan alamat,3.0
2820,ORD2023001256,2025-05-15,2025-05-15,2025-05-20,DENPASAR,JAKARTA,1109.7,10.57,0.067,J&T Express,Instant,Motor,B2B,Virtual Account,WH-MED-01,DRV-238,145400.0,8750.0,4,5.0,Delivered,No Delay,4.0
2821,ORD2023002155,2025-05-07,2025-05-07,2025-05-13,MEDAN,MALANG,2249.7,2.22,0.015,SiCepat,Reguler,Truk CDD,B2C,Virtual Account,WH-MAK-02,DRV-330,45600.0,1600.0,6,6.0,Delivered,No Delay,4.0
2822,ORD2023003954,2025-01-16,2025-01-17,2025-01-20,DENPASAR,JAKARTA,1252.9,8.53,0.017,AnterAja,Reguler,Unknown,B2C,Unknown,WH-JAK-02,DRV-441,57700.0,3410.0,3,3.0,Delivered,No Delay,
2823,ORD2023003816,2024-08-08,2024-08-08,2024-08-12,MEDAN,PEKANBARU,537.9,16.85,0.073,Wahana,Express,Van,B2B,COD,WH-JAK-02,DRV-324,103600.0,4770.0,1,4.0,Delayed,Kendala bea cukai,1.0
2824,ORD2023002321,2024-08-22,2024-08-22,2024-09-05,MANADO,PEKANBARU,3323.1,8.17,0.068,AnterAja,Ekonomi,Motor,B2B,Transfer Bank,WH-SUR-02,DRV-459,63200.0,3970.0,13,14.0,Delivered,No Delay,5.0
2825,ORD2023005444,2025-05-13,2025-05-13,2025-05-15,YOGYAKARTA,SURABAYA,357.2,6.61,0.033,Lion Parcel,Reguler,Motor,B2B,Virtual Account,WH-MAK-02,DRV-296,31700.0,1290.0,1,2.0,Delivered,No Delay,5.0
2826,ORD2023003713,2025-06-17,2025-06-18,2025-06-20,YOGYAKARTA,MALANG,314.9,18.36,0.166,Pos Indonesia,Express,Van,B2C,E-Wallet,WH-MED-02,DRV-328,156400.0,4130.0,1,2.0,Delayed,Keterlambatan sortir gudang,1.0
2827,ORD2023005824,2024-08-23,2024-08-24,,MAKASSAR,BALIKPAPAN,580.4,46.77,0.467,Wahana,Reguler,Motor,B2C,COD,WH-JAK-01,DRV-407,234300.0,13780.0,2,,Lost,Barang hilang dalam pengiriman,
2828,ORD2023004122,2023-01-29,2023-01-29,2023-01-31,SURABAYA,JAKARTA,871.4,9.59,0.044,ID Express,Ekonomi,Truk Fuso,B2C,Virtual Account,WH-JAK-01,DRV-214,42500.0,2970.0,2,2.0,Delivered,No Delay,5.0
2829,ORD2023003492,2025-12-24,2025-12-24,2025-12-29,MANADO,BANDUNG,2366.7,2.19,0.005,GoSend Logistics,Reguler,Van,B2B,Virtual Account,WH-SUR-01,DRV-408,43600.0,2240.0,5,5.0,Delivered,No Delay,5.0
2830,ORD2023002666,2023-08-03,2023-08-03,2023-08-09,BANJARMASIN,MALANG,742.5,7.6,0.025,J&T Express,Express,Truk CDD,B2C,E-Wallet,WH-MAK-01,DRV-264,71600.0,2760.0,3,6.0,Delayed,Kendala armada,2.0
2831,ORD2023001813,2025-12-08,2025-12-08,2025-12-11,BANDUNG,MAKASSAR,1396.4,7.05,0.035,GoSend Logistics,Express,Truk Fuso,B2C,Kartu Kredit,WH-MED-01,DRV-447,84000.0,3690.0,3,3.0,Delivered,No Delay,2.0
2832,ORD2023003740,2024-07-22,2024-07-23,2024-08-01,MANADO,BANDUNG,2535.9,12.31,0.068,J&T Express,Reguler,Truk Fuso,B2C,COD,WH-MED-02,DRV-279,58800.0,2610.0,8,9.0,Delivered,No Delay,5.0
2833,ORD2023005582,2024-09-25,2024-09-26,2024-10-02,MEDAN,JAKARTA,1600.9,11.59,0.047,Pos Indonesia,Express,Kontainer 20ft,B2B,Virtual Account,WH-JAK-02,DRV-307,110100.0,6970.0,6,6.0,Delivered,No Delay,3.0
2834,ORD2023004681,2025-04-05,2025-04-05,2025-04-07,JAKARTA,PALEMBANG,495.4,20.34,0.172,AnterAja,Kargo,Motor,B2C,Transfer Bank,WH-MAK-01,DRV-173,76900.0,3510.0,1,2.0,Delayed,Kepadatan lalu lintas,3.0
2835,ORD2023003049,2023-01-29,2023-01-30,2023-02-08,PALEMBANG,BALIKPAPAN,1477.9,4.6,0.011,ID Express,Kargo,Truk Fuso,B2B,Virtual Account,WH-JAK-01,DRV-404,37300.0,1130.0,6,9.0,Delayed,Kendala armada,3.0
2836,ORD2023004276,2024-01-17,2024-01-18,2024-01-23,MAKASSAR,BALIKPAPAN,663.6,6.76,0.046,Pos Indonesia,Express,Truk Fuso,B2C,COD,WH-MAK-01,DRV-434,67600.0,2020.0,1,5.0,Delayed,Keterlambatan sortir gudang,3.0
2837,ORD2023004022,2024-08-18,2024-08-18,2024-08-25,MEDAN,BALIKPAPAN,2630.4,8.5,0.079,JNE,Reguler,Motor,B2B,Kartu Kredit,WH-MED-02,DRV-114,64800.0,2290.0,6,7.0,Delivered,No Delay,2.0
2838,ORD2023003071,2024-11-03,2024-11-04,2024-11-07,BANDUNG,BATAM,1051.3,5.29,0.025,ID Express,Kargo,Truk Fuso,B2C,COD,WH-JAK-01,DRV-334,31900.0,1410.0,3,3.0,Delivered,No Delay,5.0
2839,ORD2023003002,2025-06-10,2025-06-10,2025-06-15,MALANG,PEKANBARU,1977.2,15.09,0.061,Wahana,Kargo,Motor,B2B,Kartu Kredit,WH-MED-01,DRV-104,77200.0,5410.0,4,5.0,Delivered,No Delay,5.0
2840,ORD2023000837,2023-12-30,2023-12-31,2024-01-05,DENPASAR,MEDAN,2544.4,4.69,0.022,ID Express,Reguler,Truk Engkel,B2C,Kartu Kredit,WH-SUR-02,DRV-322,61700.0,1380.0,5,5.0,Delivered,No Delay,1.0
2841,ORD2023001771,2024-07-24,2024-07-24,2024-07-30,DENPASAR,PALEMBANG,1696.1,18.42,0.109,GoSend Logistics,Reguler,Motor,B2C,Kartu Kredit,WH-SUR-01,DRV-405,107600.0,7000.0,3,6.0,Delayed,Cuaca buruk,1.0
2842,ORD2023001380,2024-10-26,2024-10-26,2024-11-04,SEMARANG,PEKANBARU,1702.8,22.75,0.194,Lion Parcel,Reguler,Truk Engkel,B2C,COD,WH-MAK-01,DRV-327,137300.0,9930.0,5,9.0,Delayed,Kendala armada,2.0
2843,ORD2023000546,2025-08-21,2025-08-21,2025-08-22,SURABAYA,YOGYAKARTA,310.5,4.19,0.034,SiCepat,Reguler,Truk Engkel,B2C,Kartu Kredit,WH-SUR-01,DRV-456,31300.0,1700.0,1,1.0,Delivered,No Delay,3.0
2844,ORD2023000516,2025-06-01,2025-06-01,2025-06-09,BATAM,SURABAYA,1434.3,39.23,0.25,Lion Parcel,Reguler,Truk Engkel,B2C,COD,WH-SUR-01,DRV-122,148400.0,9300.0,3,8.0,Delayed,Kepadatan lalu lintas,2.0
2845,ORD2023002410,2024-11-04,2024-11-04,2024-11-12,JAKARTA,BATAM,1055.1,3.26,0.03,J&T Express,Kargo,Truk CDD,B2B,E-Wallet,WH-MAK-01,DRV-415,27400.0,940.0,3,8.0,Returned,Alamat tidak ditemukan,
2846,ORD2023003512,2023-05-27,2023-05-28,2023-05-31,BATAM,MEDAN,733.2,7.35,0.05,J&T Express,Reguler,Kontainer 20ft,B2C,Kartu Kredit,WH-MAK-01,DRV-110,48300.0,3350.0,2,3.0,Delivered,No Delay,2.0
2847,ORD2023004301,2024-04-26,2024-04-26,2024-04-27,PEKANBARU,BATAM,308.2,16.28,0.073,JNE,Instant,Truk Engkel,B2B,Transfer Bank,WH-SUR-02,DRV-365,213700.0,5030.0,1,1.0,Delivered,No Delay,5.0
2848,ORD2023003912,2023-12-11,2023-12-12,2023-12-18,MEDAN,BANJARMASIN,2525.5,28.05,0.144,SiCepat,Reguler,Van,B2B,Transfer Bank,WH-MED-01,DRV-275,125500.0,7430.0,6,6.0,Delivered,No Delay,3.0
2849,ORD2023003351,2023-07-15,2023-07-15,2023-07-23,BANDUNG,BANJARMASIN,946.8,4.07,0.01,Wahana,Express,Truk Engkel,B2C,E-Wallet,WH-MAK-01,DRV-133,58400.0,3130.0,3,8.0,Delayed,Cuaca buruk,3.0
2850,ORD2023001286,2024-04-24,2024-04-25,2024-04-28,SURABAYA,PALEMBANG,1238.9,40.23,0.261,Lion Parcel,Reguler,Motor,B2B,Transfer Bank,WH-SUR-01,DRV-450,191700.0,15190.0,3,3.0,Delivered,No Delay,1.0
2851,ORD2023005495,2025-10-02,2025-10-02,2025-10-05,SEMARANG,PALEMBANG,883.8,10.04,0.054,Ninja Xpress,Kargo,Truk CDD,B2C,Virtual Account,WH-SUR-01,DRV-124,52000.0,3660.0,3,3.0,Delivered,No Delay,5.0
2852,ORD2023001980,2024-02-23,2024-02-23,2024-03-02,PEKANBARU,JAKARTA,1244.3,7.07,0.069,Lion Parcel,Reguler,Kontainer 20ft,B2B,E-Wallet,WH-SUR-02,DRV-425,35300.0,1040.0,3,8.0,Delayed,Kendala bea cukai,2.0
2853,ORD2023003711,2023-05-04,2023-05-04,2023-05-06,MALANG,YOGYAKARTA,264.9,5.53,0.022,AnterAja,Kargo,Truk Engkel,B2C,Transfer Bank,WH-SUR-02,DRV-146,25700.0,1200.0,1,2.0,Delayed,Kepadatan lalu lintas,2.0
2854,ORD2023004185,2023-11-03,2023-11-04,2023-11-12,BALIKPAPAN,PEKANBARU,2063.9,1.05,0.007,SiCepat,Instant,Truk Fuso,B2B,Kartu Kredit,WH-JAK-01,DRV-325,82300.0,6040.0,5,8.0,Delayed,Keterlambatan sortir gudang,2.0
2855,ORD2023000269,2023-02-03,2023-02-03,2023-02-04,BANJARMASIN,BALIKPAPAN,382.8,7.15,0.056,ID Express,Kargo,Van,B2C,Virtual Account,WH-SUR-01,DRV-413,27900.0,1100.0,1,1.0,Delivered,No Delay,5.0
2856,ORD2023003277,2025-11-20,2025-11-21,2025-11-22,SURABAYA,YOGYAKARTA,317.3,44.78,0.104,SiCepat,Express,Motor,B2B,Kartu Kredit,WH-JAK-01,DRV-174,368000.0,22360.0,1,1.0,Delivered,No Delay,4.0
2857,ORD2023000018,2024-08-23,2024-08-24,2024-08-30,MANADO,SEMARANG,2231.1,51.06,0.205,JNE,Reguler,Truk Engkel,B2C,Transfer Bank,WH-JAK-01,DRV-270,237600.0,8490.0,5,6.0,Delivered,No Delay,5.0
2858,ORD2023002622,2024-06-29,2024-06-29,2024-06-30,BANDUNG,SEMARANG,413.5,1.37,0.014,Wahana,Express,Motor,B2C,COD,WH-MED-01,DRV-488,27900.0,960.0,1,1.0,Delivered,No Delay,3.0
2859,ORD2023001152,2025-12-21,2025-12-21,2025-12-24,DENPASAR,PALEMBANG,1508.0,24.24,0.132,SiCepat,Instant,Motor,B2B,COD,WH-SUR-02,DRV-480,290100.0,18730.0,3,3.0,Delivered,No Delay,2.0
2860,ORD2023000779,2025-01-20,2025-01-20,2025-01-23,SURABAYA,BANJARMASIN,642.5,11.9,0.043,Wahana,Instant,Truk CDD,B2C,COD,WH-MED-01,DRV-284,143000.0,4830.0,1,3.0,Delayed,Keterlambatan sortir gudang,2.0
2861,ORD2023003751,2023-02-26,2023-02-27,2023-03-03,JAKARTA,DENPASAR,1193.4,10.31,0.1,Pos Indonesia,Reguler,Van,B2B,E-Wallet,WH-JAK-01,DRV-303,69200.0,4870.0,4,4.0,Delivered,No Delay,3.0
2862,ORD2023005455,2023-07-17,2023-07-17,2023-07-23,PALEMBANG,MALANG,1344.8,26.54,0.153,GoSend Logistics,Reguler,Kontainer 20ft,B2C,E-Wallet,WH-MAK-02,DRV-244,148700.0,10120.0,5,6.0,Delivered,No Delay,2.0
2863,ORD2023000253,2025-05-26,2025-05-26,2025-06-03,MANADO,PALEMBANG,2533.4,3.2,0.027,SiCepat,Express,Motor,B2B,Virtual Account,WH-SUR-01,DRV-422,81200.0,5450.0,8,8.0,Delivered,No Delay,5.0
2864,ORD2023000644,2025-12-05,2025-12-06,2025-12-09,SEMARANG,MAKASSAR,1259.1,2.81,0.027,JNE,Kargo,Truk Engkel,B2C,Virtual Account,WH-MAK-02,DRV-188,28200.0,1830.0,3,3.0,Delivered,No Delay,2.0
2865,ORD2023001505,2023-11-09,2023-11-10,2023-11-16,BALIKPAPAN,MEDAN,2282.6,5.3,0.045,Lion Parcel,Express,Van,B2C,Virtual Account,WH-JAK-01,DRV-460,67800.0,1550.0,6,6.0,Delivered,No Delay,5.0
2866,ORD2023003378,2024-04-12,2024-04-13,2024-04-16,JAKARTA,MAKASSAR,1658.9,9.53,0.048,Pos Indonesia,Kargo,Van,B2B,COD,WH-MED-02,DRV-226,58200.0,4590.0,3,3.0,Delivered,No Delay,5.0
2867,ORD2023005889,2023-08-05,2023-08-06,2023-08-07,MALANG,DENPASAR,342.1,15.61,0.039,J&T Express,Express,Motor,B2B,Virtual Account,WH-MAK-02,DRV-172,141400.0,10710.0,1,1.0,Delivered,No Delay,3.0
2868,ORD2023004197,2023-06-24,2023-06-25,2023-06-27,PEKANBARU,MEDAN,587.0,1.94,0.007,JNE,Ekonomi,Truk Fuso,B2C,Transfer Bank,WH-JAK-01,DRV-269,13800.0,730.0,2,2.0,Delivered,No Delay,3.0
2869,ORD2023002271,2023-08-21,2023-08-21,2023-08-31,DENPASAR,MANADO,1667.6,15.44,0.121,Ninja Xpress,Reguler,Van,B2B,E-Wallet,WH-MED-01,DRV-128,92500.0,6870.0,3,10.0,Returned,Barang rusak,
2870,ORD2023001203,2024-10-16,2024-10-16,2024-10-20,DENPASAR,PEKANBARU,2053.6,21.29,0.064,Ninja Xpress,Instant,Motor,B2B,Kartu Kredit,WH-JAK-01,DRV-327,290300.0,12650.0,4,4.0,Delivered,No Delay,5.0
2871,ORD2023002161,2024-10-27,2024-10-27,2024-10-28,PALEMBANG,PEKANBARU,593.9,5.76,0.054,Wahana,Reguler,Truk CDD,B2B,Kartu Kredit,WH-MAK-02,DRV-447,27700.0,1350.0,1,1.0,Delivered,No Delay,5.0
2872,ORD2023002957,2024-05-20,2024-05-20,2024-05-25,MEDAN,PALEMBANG,1307.6,41.77,0.287,ID Express,Express,Truk Fuso,B2B,Kartu Kredit,WH-MAK-01,DRV-133,305400.0,18370.0,3,5.0,Delayed,Kapasitas armada penuh,1.0
2873,ORD2023005200,2025-06-20,2025-06-20,2025-06-23,MALANG,MAKASSAR,1036.3,19.39,0.175,Ninja Xpress,Express,Motor,B2B,Kartu Kredit,WH-MAK-01,DRV-465,159900.0,12210.0,3,3.0,Delivered,No Delay,3.0
2874,ORD2023001512,2023-07-11,2023-07-12,2023-07-15,YOGYAKARTA,BANDUNG,388.2,10.79,0.072,J&T Express,Ekonomi,Truk Engkel,B2C,Transfer Bank,WH-MED-02,DRV-473,38200.0,1670.0,2,3.0,Delivered,No Delay,4.0
2875,ORD2023005696,2023-12-23,2023-12-23,2023-12-31,YOGYAKARTA,BANJARMASIN,774.5,16.3,0.113,Pos Indonesia,Kargo,Kontainer 20ft,B2B,E-Wallet,WH-SUR-01,DRV-116,61000.0,3690.0,3,8.0,Returned,Alamat tidak ditemukan,
2876,ORD2023002342,2024-10-26,2024-10-26,2024-10-28,YOGYAKARTA,MALANG,307.7,20.1,0.195,Ninja Xpress,Reguler,Motor,B2C,Kartu Kredit,WH-SUR-01,DRV-330,99800.0,4100.0,1,2.0,Delivered,No Delay,5.0
2877,ORD2023003522,2024-04-21,2024-04-22,2024-04-23,DENPASAR,MALANG,367.4,15.33,0.146,AnterAja,Express,Motor,B2B,E-Wallet,WH-JAK-01,DRV-338,99700.0,6840.0,1,1.0,Delivered,No Delay,3.0
2878,ORD2023003424,2025-03-20,2025-03-20,2025-03-24,MAKASSAR,MANADO,1233.5,20.11,0.185,ID Express,Instant,Truk Fuso,B2B,Virtual Account,WH-SUR-01,DRV-388,155800.0,7250.0,3,4.0,Delivered,No Delay,5.0
2879,ORD2023003250,2023-07-14,2023-07-14,2023-07-18,DENPASAR,SURABAYA,379.0,17.71,0.084,JNE,Reguler,Truk Fuso,B2C,E-Wallet,WH-JAK-01,DRV-443,73900.0,5830.0,1,4.0,Delayed,Kapasitas armada penuh,1.0
2880,ORD2023005366,2023-02-13,2023-02-13,2023-02-14,YOGYAKARTA,BANDUNG,408.5,14.57,0.097,Ninja Xpress,Reguler,Truk Fuso,B2B,E-Wallet,WH-JAK-01,DRV-461,77400.0,2230.0,1,1.0,Delivered,No Delay,4.0
2881,ORD2023000903,2024-09-20,2024-09-20,2024-09-21,DENPASAR,MALANG,395.4,10.55,0.053,AnterAja,Reguler,Motor,B2C,Kartu Kredit,WH-MED-01,DRV-257,34600.0,2690.0,1,1.0,Delivered,No Delay,5.0
2882,ORD2023002741,2025-04-16,2025-04-16,2025-04-20,BALIKPAPAN,BATAM,1577.6,81.3,0.251,Wahana,Kargo,Motor,B2C,Virtual Account,WH-MED-01,DRV-406,319800.0,22720.0,4,4.0,Delivered,No Delay,5.0
2883,ORD2023003856,2025-02-10,2025-02-10,,DENPASAR,BALIKPAPAN,996.8,4.89,0.035,J&T Express,Express,Truk Engkel,B2C,Virtual Account,WH-JAK-01,DRV-415,52000.0,3390.0,3,,Lost,Barang hilang dalam pengiriman,
2884,ORD2023005496,2024-06-05,2024-06-05,2024-06-08,BALIKPAPAN,MAKASSAR,589.9,20.15,0.121,SiCepat,Reguler,Truk CDD,B2C,Kartu Kredit,WH-SUR-02,DRV-444,71700.0,2140.0,2,3.0,Delivered,No Delay,5.0
2885,ORD2023004121,2024-02-20,2024-02-20,,BANJARMASIN,JAKARTA,1093.3,24.74,0.216,SiCepat,Kargo,Kontainer 20ft,B2C,Kartu Kredit,WH-JAK-01,DRV-200,114800.0,7010.0,3,,Lost,Barang hilang dalam pengiriman,
2886,ORD2023001390,2024-05-03,2024-05-03,2024-05-07,MALANG,BATAM,1453.0,42.06,0.121,Lion Parcel,Reguler,Motor,B2C,Kartu Kredit,WH-JAK-01,DRV-376,140000.0,7200.0,4,4.0,Delivered,No Delay,5.0
2887,ORD2023001080,2024-01-22,2024-01-22,2024-01-29,MALANG,MEDAN,2474.5,7.27,0.035,Wahana,Ekonomi,Truk Fuso,B2B,E-Wallet,WH-SUR-01,DRV-406,47000.0,3100.0,7,7.0,Delivered,No Delay,2.0
2888,ORD2023000848,2023-11-07,2023-11-08,2023-11-10,SEMARANG,BANJARMASIN,703.2,3.15,0.007,Ninja Xpress,Reguler,Kontainer 20ft,B2B,COD,WH-JAK-02,DRV-285,29700.0,1960.0,2,2.0,Delivered,No Delay,3.0
2889,ORD2023005102,2023-03-18,2023-03-19,2023-03-23,BALIKPAPAN,BANDUNG,1414.7,20.86,0.149,GoSend Logistics,Instant,Truk CDD,B2C,E-Wallet,WH-MED-01,DRV-448,152400.0,7120.0,4,4.0,Delivered,No Delay,5.0
2890,ORD2023003223,2023-08-13,2023-08-13,2023-08-17,MEDAN,BATAM,770.0,27.58,0.099,ID Express,Reguler,Van,B2C,Virtual Account,WH-JAK-02,DRV-381,116200.0,6120.0,2,4.0,Returned,Barang rusak,
2891,ORD2023003112,2025-07-17,2025-07-17,2025-07-18,DENPASAR,SURABAYA,422.4,41.39,0.31,Wahana,Reguler,Truk Fuso,B2C,E-Wallet,WH-SUR-01,DRV-196,103500.0,6660.0,1,1.0,Delivered,No Delay,2.0
2892,ORD2023005277,2023-05-03,2023-05-03,2023-05-11,BANJARMASIN,PEKANBARU,2012.5,9.52,0.067,Lion Parcel,Reguler,Motor,B2B,Kartu Kredit,WH-MED-02,DRV-291,68800.0,5230.0,4,8.0,Delayed,Kesalahan alamat,2.0
2893,ORD2023001606,2025-01-11,2025-01-11,2025-01-18,JAKARTA,SEMARANG,539.0,8.87,0.077,J&T Express,Kargo,Motor,B2C,Virtual Account,WH-MAK-01,DRV-423,28400.0,1020.0,2,7.0,Delayed,Kesalahan alamat,2.0
2894,ORD2023003367,2025-05-18,2025-05-18,2025-05-22,MEDAN,PALEMBANG,1246.3,13.72,0.129,Lion Parcel,Kargo,Motor,B2B,COD,WH-JAK-02,DRV-466,67300.0,2850.0,4,4.0,Delivered,No Delay,4.0
2895,ORD2023005948,2023-11-23,2023-11-24,2023-11-27,PALEMBANG,SEMARANG,882.2,25.42,0.179,Wahana,Instant,Truk CDD,B2C,Kartu Kredit,WH-SUR-01,DRV-248,208500.0,13490.0,3,3.0,Delivered,No Delay,4.0
2896,ORD2023003438,2025-07-27,2025-07-27,2025-07-31,SEMARANG,BATAM,1369.4,3.99,0.038,Wahana,Reguler,Van,B2B,E-Wallet,WH-SUR-02,DRV-426,39600.0,2460.0,3,4.0,Delivered,No Delay,5.0
2897,ORD2023000443,2025-01-28,2025-01-28,2025-02-05,BALIKPAPAN,MEDAN,2345.3,4.89,0.039,Lion Parcel,Kargo,Truk Engkel,B2B,COD,WH-JAK-01,DRV-285,33600.0,1790.0,8,8.0,Delivered,No Delay,1.0
